CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
8828,S13002591,Fountainbridge / Craiglockhart ,Wards and Electoral Divisions,WED,5,1057,483,276,754,324,905,3101,2952,5826,4155,1077,1442,1050,288,144
8829,S13002592,Meadows / Morningside ,Wards and Electoral Divisions,WED,12,1373,705,447,1248,496,1278,7158,3740,6594,5336,1412,1869,1439,474,350
8830,S13002593,City Centre ,Wards and Electoral Divisions,WED,3,655,269,164,438,194,1459,5417,3668,5448,3354,965,1114,639,178,82
8831,S13002594,Leith Walk ,Wards and Electoral Divisions,WED,4,1511,503,301,732,315,599,3590,5616,10189,4661,1018,1321,937,264,156
8832,S13002595,Leith ,Wards and Electoral Divisions,WED,6,1560,508,312,776,328,445,2007,3350,7572,4191,1033,1439,903,251,115
8833,S13002596,Craigentinny / Duddingston ,Wards and Electoral Divisions,WED,5,1330,656,383,1050,504,532,1636,2216,5705,5169,1497,2429,1818,426,172
8834,S13002597,Southside / Newington ,Wards and Electoral Divisions,WED,5,1281,688,438,1038,479,2915,7056,3189,5509,4636,1426,1984,1559,538,278
8835,S13002598,Liberton / Gilmerton ,Wards and Electoral Divisions,WED,7,2251,1139,663,1969,764,800,1978,2152,6631,6838,2269,2733,1924,554,309
8836,S13002599,Portobello / Craigmillar ,Wards and Electoral Divisions,WED,5,1826,904,563,1437,579,618,1461,1684,5328,5336,1484,1945,1414,336,150
8837,S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas ",Wards and Electoral Divisions,WED,1,196,101,68,192,78,55,118,113,577,718,257,362,215,33,18
8838,S13002601,Beinn na Foghla agus Uibhist a Tuath ,Wards and Electoral Divisions,WED,1,144,95,50,144,71,45,147,124,537,723,225,352,184,51,19
8839,S13002602,Na Hearadh agus Ceann a Deas nan Loch ,Wards and Electoral Divisions,WED,0,74,34,28,95,37,36,76,60,308,412,175,306,161,62,21
8840,S13002603,Sgir'Uige agus Ceann a Tuath nan Loch ,Wards and Electoral Divisions,WED,1,130,80,65,174,85,52,127,103,558,872,301,433,265,74,35
8841,S13002604,Sgire an Rubha ,Wards and Electoral Divisions,WED,1,142,103,63,125,52,40,97,121,505,555,220,270,138,41,17
8842,S13002605,SteÃ²rnabhagh a Deas,Wards and Electoral Divisions,WED,2,168,82,58,175,86,99,207,229,707,784,252,400,338,114,64
8843,S13002606,SteÃ²rnabhagh a Tuath,Wards and Electoral Divisions,WED,0,189,130,93,240,110,93,196,203,784,784,241,367,241,62,34
8844,S13002607,Loch a Tuath ,Wards and Electoral Divisions,WED,0,180,133,80,197,75,57,130,153,564,558,204,280,158,42,15
8845,S13002608,An Taobh Siar agus Nis ,Wards and Electoral Divisions,WED,0,131,89,61,187,75,58,130,152,528,699,299,427,287,60,23
